,wine,variety,country,points,price,taster
1721,Marqués de Cáceres 2006 Blanco Fermentado en Barrica White (Rioja),White Blend,Spain,85,8.0,Michael Schachner
1722,Bodegas Campante 2006 Versatus White (Ribeiro),White Blend,Spain,85,10.0,Michael Schachner
1814,Castillo de Liria 2014 Winemaker's Selection White (Valencia),White Blend,Spain,85,9.0,Michael Schachner
1843,Zudugarai 2013 White (Getariako Txakolina),White Blend,Spain,83,25.0,Michael Schachner
1959,Tarara 2010 Nevaeh White (Virginia),White Blend,US,88,35.0,
1961,Tenute Soletta 2011 Kyanos White (Isola dei Nuraghi),White Blend,Italy,88,32.0,
2036,Cantina del Castello 2013 Castello  (Soave Classico),White Blend,Italy,87,15.0,Kerin O’Keefe
2098,Rocca Bernarda 2006 Vineis White (Colli Orientali del Friuli),White Blend,Italy,87,21.0,
2111,Château Calissanne 2006 Clos Victoire White (Coteaux d'Aix-en-Provence),White Blend,France,87,36.0,Joe Czerwinski
2325,Gnarly Head 2013 Authentic White (California),White Blend,US,85,12.0,Jim Gordon
2374,Mario Schiopetto 2011 Blanc des Rosis White (Collio),White Blend,Italy,88,30.0,Kerin O’Keefe
2425,Corvo 2011 Bianco White (Sicilia),White Blend,Italy,85,,
2458,Borra 2012 Markus Nimmo White (California),White Blend,US,90,22.0,Jim Gordon
2486,Davino 2013 Domaine Ceptura White (Dealu Mare),White Blend,Romania,88,22.0,Jeff Jenssen
2497,Lis Neris 2010 Tal Lùc White (Venezia Giulia),White Blend,Italy,88,43.0,Kerin O’Keefe
2570,Pala 2013 Assoluto White (Isola dei Nuraghi),White Blend,Italy,89,45.0,Kerin O’Keefe
2685,Heidi Schröck 2010 Ruster Ausbruch White (Burgenland),White Blend,Austria,90,,Roger Voss
2785,Lost Angel 2009 Ruckus White (California),White Blend,US,84,10.0,
2803,LoveThisLife 2009 White (California),White Blend,US,84,13.0,
2963,Abbazia Santa Anastasia 2006 Sinestesìa White (Sicilia),White Blend,Italy,86,29.0,
2966,Abbazia Santa Anastasia 2006 Baccante White (Sicilia),White Blend,Italy,85,42.0,
3132,Bodegas Tobía 2012 Viña Tobía White (Rioja),White Blend,Spain,83,11.0,Michael Schachner
3237,Oliver Conti 2011 Treyu White (Empordà),White Blend,Spain,88,16.0,Michael Schachner
3247,Vinum 2013 White Elephant White (California),White Blend,US,86,18.0,Matt Kettmann
3275,Tenuta delle Terre Nere 2007  Etna,White Blend,Italy,87,19.0,
3301,Bonny Doon 2005 Le Cigar Blanc White (California),White Blend,US,87,20.0,
3318,Albet I Noya 2009 Petit Albet White (Penedès),White Blend,Spain,87,13.0,Michael Schachner
3451,Wirra Wirra 2015 Scrubby Rise White (Adelaide),White Blend,Australia,88,15.0,Joe Czerwinski
3460,Spann Vineyards 2015 Betsy's Backacher White (California),White Blend,US,88,17.0,Jim Gordon
3560,Chateau Dereszla 2015 Dry  (Tokaji),White Blend,Hungary,89,16.0,Jeff Jenssen
3576,Domaines Vinsmoselle NV Pinot Luxembourg White (Moselle Luxembourgeoise),White Blend,Luxembourg,89,16.0,Jeff Jenssen
3735,Domaine de Ménard 2015 White (Côtes de Gascogne),White Blend,France,86,10.0,Roger Voss
3738,Estate Biblia Chora 2015 White (Pangeon),White Blend,Greece,86,23.0,Susan Kostrzewa
3890,Bodegas Docampo 2008 Viña do Campo White (Ribeiro),White Blend,Spain,86,18.0,Michael Schachner
3954,Fattoria di Casalbosco 2006 500ml  (Vin Santo del Chianti),White Blend,Italy,90,,
3960,Syncline 2009 Subduction White White (Columbia Valley (WA)),White Blend,US,90,18.0,Paul Gregutt
3968,Pietro Beconcini 1999 Caratello  (Vin Santo del Chianti),White Blend,Italy,90,,
4219,Blanchard & Lurton 2014 Gran Vin White (Vista Flores),White Blend,Argentina,87,30.0,Michael Schachner
4222,De Stefani 2015 Olmèra White (Veneto),White Blend,Italy,87,50.0,Kerin O’Keefe
4294,Pieropan 2006 Calvarino  (Soave Classico),White Blend,Italy,89,30.0,
4301,Bergevin Lane 2008 Calico White White (Columbia Valley (WA)),White Blend,US,89,16.0,Paul Gregutt
4341,Sokol Blosser NV Evolution Lucky No. 9 White (America),White Blend,US,90,15.0,Paul Gregutt
4453,Château Routas 2010 White (Vin de Pays Var),White Blend,France,85,,Roger Voss
4463,Principe Pallavicini 2011  Frascati Superiore,White Blend,Italy,85,13.0,
4538,Pedroncelli 2012 friends.white White (Sonoma County),White Blend,US,82,12.0,
4541,Austerity 2011 White (California),White Blend,US,82,17.0,
4612,Finca Allende 2008 Blanco White (Rioja),White Blend,Spain,87,35.0,Michael Schachner
4616,Korta 2009 Viognier-Sauvignon Blanc-Chardonnay White (Lontué Valley),White Blend,Chile,87,8.0,Michael Schachner
4790,Vinum 2010 White Elephant White (California),White Blend,US,85,17.0,
4798,Moretti Omero 2009 Nessuno White (Umbria),White Blend,Italy,85,16.0,
4855,Domaine d'Escausses 2014 L'Ombre Fraîche White (Gaillac),White Blend,France,87,15.0,Roger Voss
4884,Claudia Papayianni 2013 Claudia Viognier-Assyrtiko White (Chalkidiki),White Blend,Greece,87,25.0,Susan Kostrzewa
4954,Dominio de Eguren 2010 Protocolo Blanco White (Vino de la Tierra de Castilla),White Blend,Spain,86,7.0,Michael Schachner
5038,Elyse 2012 L'Ingenue Naggiar Vineyard White (Sierra Foothills),White Blend,US,91,32.0,Jim Gordon
5072,The Infinite Monkey Theorem NV The Blind Watchmaker White (Colorado),White Blend,US,87,36.0,
5073,Trivento 2013 Amado Sur Torrontés-Viognier-Chardonnay White (Mendoza),White Blend,Argentina,87,15.0,Michael Schachner
5155,Castello Montaúto 2008  Vernaccia di San Gimignano,White Blend,Italy,87,20.0,
5371,Castello della Sala 2014 San Giovanni  (Orvieto Classico Superiore),White Blend,Italy,89,25.0,Kerin O’Keefe
5407,Basilicus 2012 Once Upon a Time White (Tokaj),White Blend,Hungary,88,19.0,Jeff Jenssen
5554,Feudi di San Gregorio 2009 Campanaro White (Irpinia),White Blend,Italy,90,33.0,
5561,Lis Neris 2008 Confini White (Venezia Giulia),White Blend,Italy,90,37.0,
5562,Lungarotti 2008 Torveto White (Umbria),White Blend,Italy,90,32.0,
5568,Agricola Querciabella 2008 Batàr White (Toscana),White Blend,Italy,90,90.0,
5579,Monte del Frá 2005 Cà del Magro  (Custoza Superiore),White Blend,Italy,87,16.0,
5589,Aldegheri 2006 le Pietre White (Veronese),White Blend,Italy,86,12.0,
5592,Girlan 2006 Toretta Classico White (Alto Adige),White Blend,Italy,86,14.0,
5816,Dominio de Eguren 2013 Protocolo White (Vino de la Tierra de Castilla),White Blend,Spain,84,7.0,Michael Schachner
5819,Epilogo 2013 Sauvignon Blanc-Moscatel White (La Mancha),White Blend,Spain,84,12.0,Michael Schachner
5966,Bigi 2009 Amabile  (Orvieto Classico),White Blend,Italy,83,11.0,
5985,Cantine Rallo 2015 Al Qasar White (Sicilia),White Blend,Italy,87,,Kerin O’Keefe
5992,Cantine Valenti 2015 Enrico IV Bianco  (Etna),White Blend,Italy,87,25.0,Kerin O’Keefe
6231,Cantina del Castello 2013 Pressoni  (Soave Classico),White Blend,Italy,90,16.0,Kerin O’Keefe
6382,Kitchen Sink NV White (California),White Blend,US,86,13.0,Jim Gordon
6416,Corvo 2007 Bianco White (Sicilia),White Blend,Italy,85,10.0,
6464,D.G. Viticultors NV Caligo Sweet White Wine White (Spain),White Blend,Spain,91,50.0,Michael Schachner
6625,Podere Guado al Melo 2010 Guado al Melo White (Toscana),White Blend,Italy,88,18.0,
6763,Tinhof 2012 White (Leithaberg),White Blend,Austria,89,,Anne Krebiehl MW
6784,Bastianich 2006 Vespa White (Venezia Giulia),White Blend,Italy,89,40.0,
6894,Fiegl 2013 Leopold White (Collio),White Blend,Italy,87,24.0,Kerin O’Keefe
6997,Batič 2009 Angel Grande Cuvée Rezerva White (Vipavska Dolina),White Blend,Slovenia,89,35.0,Jeff Jenssen
7056,Baron De Ley 2014 White (Rioja),White Blend,Spain,84,10.0,Michael Schachner
7065,Paso a Paso 2014 White (Vino de la Tierra de Castilla),White Blend,Spain,84,11.0,Michael Schachner
7124,Bodegas Landaluce 2014 White (Rioja),White Blend,Spain,87,17.0,Michael Schachner
7347,Patterson 2012 Forbidden White (Columbia Valley (WA)),White Blend,US,88,18.0,Paul Gregutt
7432,Sokol Blosser NV Evolution 6th Edition White (Oregon),White Blend,US,86,15.0,Michael Schachner
7439,Torres 2002 Viña Sol White (Penedès),White Blend,Spain,86,10.0,Michael Schachner
7467,Kestrel 2014 Falcon Series Frizzante White (Yakima Valley),White Blend,US,86,21.0,Sean P. Sullivan
7568,Chrysorroyiatissa 2008 Ayios Andronicos White (Cyprus),White Blend,Cyprus,85,17.0,Susan Kostrzewa
7597,Cantina Terlano 2000 Classico White (Alto Adige),White Blend,Italy,83,15.0,Joe Czerwinski
7611,Quinta da Aveleda NV Casal Garcia White (Vinho Verde),White Blend,Portugal,82,6.0,Joe Czerwinski
7644,Fondo Antico 2010 I Versi Bianco White (Sicilia),White Blend,Italy,85,8.0,
7661,Corvo 2010 Bianco White (Sicilia),White Blend,Italy,85,10.0,
7715,Beau Joubert 2007 Oak Lane Chenin Blanc - Sauvignon Blanc White (Stellenbosch),White Blend,South Africa,86,8.0,Susan Kostrzewa
7809,Frostwatch 2009 Kismet White (Bennett Valley),White Blend,US,87,21.0,
7833,Huguet de Can Feixes 2000 Can Feixes Blanc Selecciò White (Catalonia),White Blend,Spain,87,10.0,
7891,Tinazzi 2013 Ca' de' Rocchi  (Lugana),White Blend,Italy,84,13.0,Kerin O’Keefe
7894,Domaine de Pajot 2012 Les Quatre Cépages White (Côtes de Gascogne),White Blend,France,84,,Roger Voss
7969,Cantina Altarocca 2014 Arcosesto  (Orvieto Classico Superiore),White Blend,Italy,86,16.0,Kerin O’Keefe
8147,Tinhorn Creek 2015 Oldfield Series 2Bench White (Okanagan Valley),White Blend,Canada,87,20.0,Paul Gregutt
8360,Castello Montauto 2015  Vernaccia di San Gimignano,White Blend,Italy,87,20.0,Kerin O’Keefe
8369,Lionel Osmin & Cie 2016 Villa Grand Cap White (Vin de France),White Blend,France,87,11.0,Roger Voss
8384,Le Casematte 2015 Peloro Bianco White (Terre Siciliane),White Blend,Italy,92,20.0,Kerin O’Keefe
8436,Inspire Moore 2014 Gratitude White (Finger Lakes),White Blend,US,85,14.0,Anna Lee C. Iijima
8696,Caparzo 2005 Le Grance White (Sant'Antimo),White Blend,Italy,88,,
8713,Teruzzi & Puthod 2006 Terre di Tufi White (Toscana),White Blend,Italy,88,19.0,
8716,Lis Neris 2006 Confini White (Venezia Giulia),White Blend,Italy,88,,
9007,Planeta 2007 Alastro White (Sicilia),White Blend,Italy,88,21.0,
9055,Monte Volpe 2015 Sesso White (Mendocino County),White Blend,US,89,18.0,Jim Gordon
9338,Nino Negri 2013 Ca' Brione White (Terrazze Retiche di Sondrio),White Blend,Italy,89,36.0,Kerin O’Keefe
9359,Masies d'Avinyo 2007 Abadal Blanc White (Pla de Bages),White Blend,Spain,84,17.0,Michael Schachner
9364,Slowine 2007 Chenin Blanc - Sauvignon Blanc White (Overberg),White Blend,South Africa,84,12.0,Susan Kostrzewa
9410,Stanburn 2011 Meadow Breeze Sweet White (Virginia),White Blend,US,83,15.0,
9442,Elyse 2013 L'Ingenue White (Sierra Foothills),White Blend,US,92,32.0,Jim Gordon
9465,Gunter Triebaumer 2008 Trie Weiss White (Burgenland),White Blend,Austria,87,15.0,Roger Voss
9509,Tsililis 2015 Theopetra Malagouzia-Assyrtiko White,White Blend,,92,28.0,Susan Kostrzewa
9623,Producteurs Plaimont 2013 Colombelle L'Originel White (Côtes de Gascogne),White Blend,France,85,8.0,Roger Voss
9638,Macari 2010 Block E White (North Fork of Long Island),White Blend,US,85,40.0,Anna Lee C. Iijima
9714,Purcari 2012 Alb de Purcari White (Moldova),White Blend,Moldova,90,38.0,Jeff Jenssen
9833,Velenosi 2005 Vigna Solaria White (Falerio),White Blend,Italy,89,,
9862,Browne Family Vineyards 2015 & White (Columbia Valley (WA)),White Blend,US,86,34.0,Sean P. Sullivan
9966,Spadafora 2013 Don Pietro White (Terre Siciliane),White Blend,Italy,87,23.0,Kerin O’Keefe
9976,Contrada Santo Spirito di Passopisciaro 2012 Animalucente Bianco  (Etna),White Blend,Italy,87,45.0,Kerin O’Keefe
10062,Kontokosta 2013 Anemometer White (North Fork of Long Island),White Blend,US,88,35.0,Anna Lee C. Iijima
10096,Venge 2010 Spettro White (Napa Valley),White Blend,US,88,26.0,
10113,Duca di Salaparuta 2010 Calanìca Insolia-Chardonnay White (Sicilia),White Blend,Italy,86,13.0,
10134,Murrieta's Well 2010 The Whip White Wine White (Livermore Valley),White Blend,US,86,19.0,Virginie Boone
10207,Thornton NV Cuvée de Frontigan White (California),White Blend,US,86,11.0,
10284,Pasetti 2009 Tenutarossa White (Colline Pescaresi),White Blend,Italy,88,50.0,
10332,Viña Mein 2009 Domillor Harvest Selection White (Ribeiro),White Blend,Spain,90,19.0,Michael Schachner
10355,Finca Jakue 2015 White (Getariako Txakolina),White Blend,Spain,87,17.0,Michael Schachner
10396,Vina Robles 2011 White4 White (Paso Robles),White Blend,US,91,16.0,
10498,Navarro 2007 White (Mendocino),White Blend,US,88,13.0,
10523,Viña Costeira 2010 White (Ribeiro),White Blend,Spain,88,15.0,Michael Schachner
10546,Elena Walch 2012 Beyond the Clouds White (Alto Adige),White Blend,Italy,90,65.0,Kerin O’Keefe
10636,Firriato 2009 Cavanera Ripa di Scorciavacca  (Etna),White Blend,Italy,87,,
10642,Argiolas 2009 Iselis White (Isola dei Nuraghi),White Blend,Italy,87,20.0,
10652,Cusumano 2010 Angimbé White (Sicilia),White Blend,Italy,87,17.0,
10663,Bowtie 2010 Showtime White (California),White Blend,US,84,14.0,
10700,Volver 2016 Tarima Blanco White (Alicante),White Blend,Spain,84,9.0,Michael Schachner
10712,La Zorra 2014 Teso Blanco White (Sierra de Salamanca),White Blend,Spain,84,22.0,Michael Schachner
10777,Fattoria di Grignano 2005  Vin Santo del Chianti Rufina,White Blend,Italy,90,25.0,Kerin O’Keefe
10809,Mas d'en Gil 2012 Como Blanca White (Priorat),White Blend,Spain,85,,Michael Schachner
10897,Dürnberg 2013 Ortolan Cuvée Prestive White (Niederösterreich),White Blend,Austria,90,23.0,Anne Krebiehl MW
10902,Alain Brumont 2010 Château Montus Blanc  (Pacherenc du Vic Bilh),White Blend,France,90,,Roger Voss
11027,Elena Walch 2011 Beyond the Clouds White (Alto Adige),White Blend,Italy,87,65.0,Kerin O’Keefe
11077,Baron Philippe de Rothschild 1998  Graves,White Blend,France,82,14.0,Joe Czerwinski
11085,Seigneurs de Bergerac 1999 White (Bergerac),White Blend,France,80,8.0,Joe Czerwinski
11089,Dolce 1998 White (Napa Valley),White Blend,US,93,75.0,
11148,Lionel Osmin & Cie 2015 Euskal Egun White (Irrouléguy),White Blend,France,89,35.0,Roger Voss
11348,Barton & Guestier NV Partager White,White Blend,,82,,Roger Voss
11419,M2 2014 Belle Etoile Blanche White (Mokelumne River),White Blend,US,91,28.0,Jim Gordon
11529,Fattoria di Basciano 2004 375ml  (Vin Santo del Chianti Rufina),White Blend,Italy,86,,
11533,Stift Göttweig 2007 Brut White (Kremstal),White Blend,Austria,86,,Roger Voss
11608,Canti NV White (Italy),White Blend,Italy,83,10.0,
11685,Vignobles 46N118 2013 Blanc 32 White (Côtes de Gascogne),White Blend,France,87,11.0,Roger Voss
11707,Manincor 2012 Rèserve della Contessa White (Alto Adige Terlano),White Blend,Italy,90,22.0,Kerin O’Keefe
11721,Borra 2012 Intuition Field Blend White (Lodi),White Blend,US,90,22.0,Virginie Boone
11730,Zuani 2011 Vigne White (Collio),White Blend,Italy,90,24.0,Kerin O’Keefe
11740,Muga 2009 Barrel Fermented White (Rioja),White Blend,Spain,89,16.0,Michael Schachner
11775,Insomnia 2011 White (California),White Blend,US,84,10.0,
11802,Cave B 2014 Cuvée Blanc White (Ancient Lakes),White Blend,US,86,25.0,Sean P. Sullivan
11888,Tenuta Monte Gorna 2015 Bianco  (Etna),White Blend,Italy,90,,Kerin O’Keefe
11941,Matané 2011 White (Salento),White Blend,Italy,85,10.0,
11942,Miali 2011 Dolcimèlo White (Martina),White Blend,Italy,85,12.0,
12067,Coquelicot 2010 Back Seat Blonde White (Santa Ynez Valley),White Blend,US,82,14.0,
12152,Contino 2012 Blanco White (Rioja),White Blend,Spain,91,48.0,Michael Schachner
12239,Giaconda 2001 Nantua Les Deux White (Victoria),White Blend,Australia,90,45.0,
12244,Tasca d'Almerita 2000 Nozze d'Oro White (Sicilia),White Blend,Italy,90,23.0,
12334,Feudi di San Gregorio 2012 Campanaro White (Irpinia),White Blend,Italy,88,34.0,Kerin O’Keefe
12393,Villa Canestrari 2013 Vigne di Sande  (Soave),White Blend,Italy,87,13.0,Kerin O’Keefe
12397,Cantina del Castello 2011 Carniga  (Soave Classico),White Blend,Italy,87,18.0,Kerin O’Keefe
12408,Elena Walch 2011 Beyond the Clouds White (Alto Adige),White Blend,Italy,87,65.0,Kerin O’Keefe
12440,Hecht & Bannier 2011 White (Languedoc),White Blend,France,87,14.0,Lauren Buzzeo
12538,Sierra Cantabria 2012 Organza White (Rioja),White Blend,Spain,88,28.0,Michael Schachner
12546,Masseria Setteporte 2013 N'ettaro Bianco  (Etna),White Blend,Italy,88,,Kerin O’Keefe
12551,Nicosia 2013 Fondo Filara Bianco  (Etna),White Blend,Italy,88,,Kerin O’Keefe
12665,Gradis'ciutta 2015 Bràtinis White (Collio),White Blend,Italy,90,20.0,Kerin O’Keefe
12694,Volver 2012 Tarima White (Alicante),White Blend,Spain,84,9.0,Michael Schachner
12732,Mas Igneus 2012 Barranc dels Closos White (Priorat),White Blend,Spain,88,25.0,Michael Schachner
12733,Lis Neris 2011 Lis White (Venezia Giulia),White Blend,Italy,88,43.0,Kerin O’Keefe
12859,Feudo Arancio 2006 Hekate Passito White (Sicilia),White Blend,Italy,91,30.0,
12877,Feudi di San Gregorio 2005 Privilegio White (Campania),White Blend,Italy,91,35.0,
12973,Anakena 2013 Ona Special Reserve Riesling-Chardonnay-Viognier White (Leyda Valley),White Blend,Chile,84,17.0,Michael Schachner
12980,Palaia Vineyards NV Pearl White (New York),White Blend,US,84,14.0,Anna Lee C. Iijima
12999,Oveja Negra 2013 Reserva Sauvignon Blanc-Carmenère White (Maule Valley),White Blend,Chile,83,11.0,Michael Schachner
13102,Davenport Cellars 2009 Snowflake White Wine White (Columbia Valley (WA)),White Blend,US,89,16.0,Paul Gregutt
13203,Lionel Osmin & Cie 2013 Villa Grand Cap White (Vin de France),White Blend,France,86,12.0,Roger Voss
13235,CrossKeys 2011 Ali d'Oro White (Virginia),White Blend,US,84,30.0,
13244,Calendar Girl 2011 Buxom Blonde White (Columbia Valley (WA)),White Blend,US,84,15.0,Paul Gregutt
13278,Borra 2012 Artist Series White (Lodi),White Blend,US,89,18.0,Virginie Boone
13504,Tasca d'Almerita 2010 Regaleali White (Sicilia),White Blend,Italy,85,10.0,
13575,Rosa d'Oro NV Omaggio White (California),White Blend,US,87,16.0,Jim Gordon
13604,Anakena 2012 Ona Special Reserve Chardonnay-Viognier-Riesling White (Leyda Valley),White Blend,Chile,84,19.0,Michael Schachner
13616,Dopff & Irion 2011 Gentil White (Alsace),White Blend,France,84,20.0,Roger Voss
13746,Clos Troteligotte 2012 C.Sb.V. White (Vin de Pays du Lot),White Blend,France,88,16.0,Roger Voss
13780,Estampa 2013 Assemblage Reserve White (Colchagua Valley),White Blend,Chile,81,20.0,Michael Schachner
13855,Mas Igneus 2013 Barranc Dels Closos White (Priorat),White Blend,Spain,86,26.0,Michael Schachner
13948,Cottanera 2013 Barbazzale Bianco White (Sicilia),White Blend,Italy,87,15.0,Kerin O’Keefe
13952,Di Giovanna 2013 Gerbino Bianco White (Terre Siciliane),White Blend,Italy,87,15.0,Kerin O’Keefe
13958,Duca di Salaparuta 2013 Calanica White (Terre Siciliane),White Blend,Italy,87,15.0,Kerin O’Keefe
14029,Shumi Winery 2013 Tsinandali White (Kakheti),White Blend,Georgia,88,13.0,Mike DeSimone
14030,St. Donat 2013 Márga White,White Blend,,88,25.0,Jeff Jenssen
14157,Cipriana 2011 Paguro White (Bolgheri),White Blend,Italy,86,,
14188,Roxanich 2008 Ines in White White (Istria),White Blend,Croatia,90,41.0,Jeff Jenssen
14212,Temps de Flors 2010 White (Penedès),White Blend,Spain,89,14.0,Michael Schachner
14214,Txomín Etxaníz 2010 Getaria White (Getariako Txakolina),White Blend,Spain,89,25.0,Michael Schachner
14220,Feudo Arancio 2010 Dalila White (Sicilia),White Blend,Italy,88,16.0,
14229,Tenute Soletta 2011 Kyanos White (Isola dei Nuraghi),White Blend,Italy,88,32.0,
14238,Tarara 2010 Nevaeh White (Virginia),White Blend,US,88,35.0,
14239,Santa Monica 2004 Late Harvest White (Rapel Valley),White Blend,Chile,88,17.0,Michael Schachner
14246,Cusumano 2011 Angimbé White (Sicilia),White Blend,Italy,88,17.0,
14262,Villa Mottura 2011 Le Pitre White (Salento),White Blend,Italy,86,29.0,
14300,Fernández Gómez 2012 Selección Familia White (Rioja),White Blend,Spain,86,17.0,Michael Schachner
14305,Bigi 2012 Amabile  (Orvieto Classico),White Blend,Italy,86,12.0,Kerin O’Keefe
14418,Qupé 2014 A Modern White (Central Coast),White Blend,US,86,17.0,Matt Kettmann
14444,Manincor 2010 Sophie White (Alto Adige),White Blend,Italy,91,35.0,
14448,ONX 2011 Field Day White (Paso Robles),White Blend,US,91,25.0,
14679,Feudi di San Gregorio 2010 Campanaro White (Irpinia),White Blend,Italy,92,33.0,
14727,Tacama 2010 Gran Blanco White (Ica),White Blend,Peru,82,10.0,Michael Schachner
14828,Château Labastidié 2014 White (Gaillac),White Blend,France,88,14.0,Roger Voss
14837,MCV 2015 TMZ White (Paso Robles),White Blend,US,88,30.0,Matt Kettmann
14855,Graci 2012 Arcurìa Bianco  (Etna),White Blend,Italy,90,40.0,Kerin O’Keefe
14859,Wiegner 2012 Elisena White (Terre Siciliane),White Blend,Italy,90,32.0,Kerin O’Keefe
14872,Hauner 2013 Salina White (Terre Siciliane),White Blend,Italy,89,20.0,Kerin O’Keefe
14919,Domaine Ste. Michelle NV Extra Dry White (Columbia Valley (WA)),White Blend,US,87,11.0,Paul Gregutt
14995,La Clarine Farm 2011 White (Sierra Foothills),White Blend,US,88,22.0,Virginie Boone
15002,Primosic 2011 Klin White (Collio),White Blend,Italy,91,,Kerin O’Keefe
15061,Coto de Gomariz 2009 Colleita Seleccionada White (Ribeiro),White Blend,Spain,89,35.0,Michael Schachner
15233,Finca Torremilanos 2010 Peñalba López Vino Blanco White (Vino de la Tierra de Castilla y León),White Blend,Spain,87,22.0,Michael Schachner
15236,La Chiripada 2010 Winemakers' Select White White (New Mexico),White Blend,US,86,16.0,
15349,Duca del Frassino 2010 Durello and Chardonnay White (Venezie),White Blend,Italy,84,20.0,
