,Wine,Variety,Country,Points,Price,Taster
945,Francis Coppola 2014 Director's Chardonnay (Sonoma County),Chardonnay,US,87,17.0,Virginie Boone
950,Vine Cliff 2014 Chardonnay (Los Carneros),Chardonnay,US,87,40.0,Virginie Boone
957,Carica 2015 Ritchie Vineyard Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,87,24.0,Virginie Boone
966,Kono 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,85,9.0,Joe Czerwinski
967,Santa Ema 2008 Selected Terroir Chardonnay (Casablanca Valley),Chardonnay,Chile,85,10.0,Michael Schachner
976,Kendall-Jackson 2008 Summation Vintner's Reserve White (California),White Blend,US,85,17.0,
978,X 2008 White X White (North Coast),White Blend,US,85,15.0,
979,Château Lamothe-Vincent 2008 Sauvignon  (Bordeaux Blanc),Sauvignon Blanc,France,85,10.0,Roger Voss
981,Yvon Mau 2007 Premius Bordeaux Sauvignon  (Bordeaux Blanc),Sauvignon Blanc,France,85,10.0,Roger Voss
990,Dancing Bull 2007 Sauvignon Blanc (California),Sauvignon Blanc,US,88,12.0,
994,Fournier Père et Fils 2006 Les Belles Vignes  (Sancerre),Sauvignon Blanc,France,88,22.0,Roger Voss
995,Benanti 2006 Edèlmio White (Sicilia),White Blend,Italy,88,26.0,
999,Amity 2006 Riesling (Willamette Valley),Riesling,US,88,17.0,Paul Gregutt
1005,Domaine Philippe Portier 2007  Quincy,Sauvignon Blanc,France,88,16.0,Roger Voss
1007,Fournier Père et Fils 2006 Les Caillottes  (Pouilly-Fumé),Sauvignon Blanc,France,88,21.0,Roger Voss
1023,Dalton 2013 Alma Semillon-Viognier-Pinot Gris White (Galilee),White Blend,Israel,88,25.0,Mike DeSimone
1025,Dragonette 2012 Vogelzang Sauvignon Blanc (Happy Canyon of Santa Barbara),Sauvignon Blanc,US,88,42.0,Matt Kettmann
1029,Gorka Izagirre 2013 White (Bizkaiko Txakolina),White Blend,Spain,88,18.0,Michael Schachner
1030,Grgich Hills 2012 Miljenko's Selection Chardonnay (Carneros),Chardonnay,US,88,60.0,Virginie Boone
1033,Ventana 2013 Chardonnay (Arroyo Seco),Chardonnay,US,88,22.0,Matt Kettmann
1046,I Clivi 2004 Bianco degli Arzillari White (Colli Orientali del Friuli),White Blend,Italy,85,28.0,
1049,Kedar's K'orus NV Chardonnay (Vin de Pays d'Oc),Chardonnay,France,85,12.0,Roger Voss
1051,Marqués de Vizhoja 2007 Señor da Folla Verde White (Rías Baixas),White Blend,Spain,85,25.0,Michael Schachner
1075,Shafer 2015 Red Shoulder Ranch Chardonnay (Carneros),Chardonnay,US,94,52.0,Virginie Boone
1078,Bergström 2015 Old Stones Chardonnay (Willamette Valley),Chardonnay,US,94,35.0,Paul Gregutt
1079,Big Table Farm 2015 Elusive Queen Chardonnay (Willamette Valley),Chardonnay,US,94,85.0,Paul Gregutt
1080,Trisaetum 2016 Ribbon Ridge Estate Riesling (Ribbon Ridge),Riesling,US,94,32.0,Paul Gregutt
1081,Trisaetum 2016 Wichmann Dundee Estate Riesling (Dundee Hills),Riesling,US,94,32.0,Paul Gregutt
1086,Trisaetum 2016 Coast Range Dry Riesling,Riesling,US,94,32.0,Paul Gregutt
1098,Rutherford Ranch 2013 Chardonnay (Napa Valley),Chardonnay,US,90,19.0,Virginie Boone
1101,Weixelbaum 2013 Wahre Werte Beerenauslese Chardonnay (Niederösterreich),Chardonnay,Austria,90,,Anne Krebiehl MW
1102,Landmark 2012 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Chardonnay,US,90,45.0,Virginie Boone
1103,Mercer 2013 Sauvignon Blanc (Yakima Valley),Sauvignon Blanc,US,90,13.0,Paul Gregutt
1113,Chateau Ste. Michelle 2013 Horse Heaven Vineyard Sauvignon Blanc (Horse Heaven Hills),Sauvignon Blanc,US,90,15.0,Sean P. Sullivan
1119,Domaine de Gensac 2011 Quadrille White (Gers),White Blend,France,90,32.0,Roger Voss
1122,Three Brothers 2014 Zero Degree Dry Riesling (Seneca Lake),Riesling,US,84,16.0,Anna Lee C. Iijima
1131,Chasing Venus 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,84,16.0,Joe Czerwinski
1135,Concha y Toro 2015 Reserva Casillero del Diablo Sauvignon Blanc (Chile),Sauvignon Blanc,Chile,84,11.0,Michael Schachner
1140,Millbrook 2013 Proprietor's Special Reserve Chardonnay (Hudson River Region),Chardonnay,US,84,25.0,Anna Lee C. Iijima
1141,Santa Rita 2014 Medalla Real Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Chile,84,18.0,Michael Schachner
1142,Scotto Family Cellars 2012 Chardonnay (Lodi),Chardonnay,US,84,13.0,Jim Gordon
1151,Ports of New York NV Meleau White Specialty Wine White (New York),White Blend,US,83,45.0,Anna Lee C. Iijima
1160,Tsantali 2006 Ambelonas at Agios Pavlos White (Halkidiki),White Blend,Greece,87,13.0,Susan Kostrzewa
1170,Trapiche 2007 Broquel Chardonnay (Mendoza),Chardonnay,Argentina,86,17.0,Michael Schachner
1171,Louis Guntrum 2006 Niersteiner Bergkirche Kabinett Riesling (Rheinhessen),Riesling,Germany,86,20.0,Joe Czerwinski
1182,Beresford 2014 Beacon Hill Sauvignon Blanc (South Australia),Sauvignon Blanc,Australia,88,13.0,Joe Czerwinski
1186,Cave des Vignerons de Buxy 2014  Mâcon-Villages,Chardonnay,France,88,14.0,Roger Voss
1188,Château de Fuissé 2014  Saint-Véran,Chardonnay,France,88,28.0,Roger Voss
1189,Château de Santenay 2014  Chassagne-Montrachet,Chardonnay,France,88,70.0,Roger Voss
1190,Chime 2013 Chardonnay (California),Chardonnay,US,88,13.0,Jim Gordon
1191,Christophe Cordier 2014 Vers Cras  (Pouilly-Fuissé),Chardonnay,France,88,40.0,Roger Voss
1196,Aubichon Cellars 2014 Chardonnay (Willamette Valley),Chardonnay,US,87,35.0,Paul Gregutt
1200,Blue Fish 2015 Original Riesling (Pfalz),Riesling,Germany,87,10.0,Anna Lee C. Iijima
1201,Bouchard Père & Fils 2014  Pouilly-Fuissé,Chardonnay,France,87,32.0,Roger Voss
1206,Coelho 2014 Apreciação Estate Vineyard Chardonnay (Willamette Valley),Chardonnay,US,87,35.0,Paul Gregutt
1214,Aesthete 2016 Dry Stack Vineyard Sauvignon Blanc (Bennett Valley),Sauvignon Blanc,US,93,55.0,Virginie Boone
1226,Longboard 2015 Rochioli Vineyard Chardonnay (Russian River Valley),Chardonnay,US,93,49.0,Virginie Boone
1236,Cambria 2015 West Point Chardonnay (Santa Maria Valley),Chardonnay,US,92,36.0,Matt Kettmann
1241,Chateau Ste. Michelle 2007 Chardonnay (Columbia Valley (WA)),Chardonnay,US,88,13.0,Paul Gregutt
1242,Danie de Wet 2008 Limestone Hill Chardonnay (Robertson),Chardonnay,South Africa,88,17.0,Susan Kostrzewa
1245,Mulderbosch 2006 Noble Late Harvest Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,South Africa,88,35.0,Susan Kostrzewa
1247,Rietvallei Estate Wine 2008 Sauvignon Blanc (Robertson),Sauvignon Blanc,South Africa,88,13.0,Susan Kostrzewa
1251,Leo 2007 X-treme Riesling (Pfalz),Riesling,Germany,88,22.0,Joe Czerwinski
1253,Washington Hills 2006 Chardonnay (Washington),Chardonnay,US,88,7.0,Paul Gregutt
1254,Washington Hills 2007 Summit Reserve Chardonnay (Columbia Valley (WA)),Chardonnay,US,88,10.0,Paul Gregutt
1260,Firriato 2010 Santagostino Baglio Sorìa White (Sicilia),White Blend,Italy,85,22.0,
1263,Hosmer 2010 Riesling (Cayuga Lake),Riesling,US,85,13.0,Anna Lee C. Iijima
1266,Black Star Farms 2010 Arcturos Riesling (Michigan),Riesling,US,85,16.0,Anna Lee C. Iijima
1273,La Merika 2010 Chardonnay (Russian River Valley),Chardonnay,US,84,15.0,
1274,Masseria del Feudo Grottarossa 2009 Haermosa Chardonnay (Sicilia),Chardonnay,Italy,84,28.0,
1277,Petroni 2010 Estate Grown Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,US,84,24.0,
